"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","antioxidant activity","GO:0016209","true","7.706772606376021e-20","19.113127454982205","85","19","11","20246","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:MF","oxidoreductase activity","GO:0016491","true","2.7052572645586873e-14","13.567791428056312","759","19","14","20246","GSR,GPX1,GPX4,XDH,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,CYBRD1"
"GO:MF","peroxidase activity","GO:0004601","false","2.8779326255343924e-9","8.54091937742552","57","19","6","20246","GPX1,GPX4,TXNRD1,PRDX1,PRDX2,CAT"
"GO:MF","oxidoreductase activity, acting on peroxide as acceptor","GO:0016684","false","3.569458282778959e-9","8.447397689392394","59","19","6","20246","GPX1,GPX4,TXNRD1,PRDX1,PRDX2,CAT"
"GO:MF","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","GO:0016668","false","7.84029361555579e-8","7.1056676728732215","12","19","4","20246","GSR,TXNRD1,TXNRD2,TXN"
"GO:MF","thioredoxin-disulfide reductase (NADPH) activity","GO:0004791","false","0.000007030405670666699","5.153019614461128","7","19","3","20246","TXNRD1,TXNRD2,TXN"
"GO:MF","disulfide oxidoreductase activity","GO:0015036","false","0.000014236794179559945","4.846587793484977","40","19","4","20246","GSR,TXNRD1,TXNRD2,TXN"
"GO:MF","identical protein binding","GO:0042802","true","0.00001670720282155996","4.777096255124484","2182","19","12","20246","GSS,GPX4,XDH,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,SOD1,SOD2,CAT,CYBRD1"
"GO:MF","protein-disulfide reductase [NAD(P)H] activity","GO:0047134","false","0.000016852975029620503","4.773323422691743","9","19","3","20246","TXNRD1,TXNRD2,TXN"
"GO:MF","oxidoreductase activity, acting on a sulfur group of donors","GO:0016667","false","0.000052658946699988384","4.278527832031275","55","19","4","20246","GSR,TXNRD1,TXNRD2,TXN"
"GO:MF","catalytic activity","GO:0003824","false","0.00020773049671653546","3.6824997404247006","6817","19","17","20246","GSS,GCLC,GCLM,GSR,GPX1,GPX4,XDH,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,CYBRD1"
"GO:MF","glutamate-cysteine ligase activity","GO:0004357","true","0.0002397672424412269","3.6202101515073757","2","19","2","20246","GCLC,GCLM"
"GO:MF","L-ascorbate:sodium symporter activity","GO:0008520","true","0.0002397672424412269","3.6202101515073757","2","19","2","20246","SLC23A1,SLC23A2"
"GO:MF","L-ascorbic acid transmembrane transporter activity","GO:0015229","true","0.0002397672424412269","3.6202101515073757","2","19","2","20246","SLC23A1,SLC23A2"
"GO:MF","acid-amino acid ligase activity","GO:0016881","false","0.00030659861616019757","3.5134298096752064","22","19","3","20246","GSS,GCLC,GCLM"
"GO:MF","flavin adenine dinucleotide binding","GO:0050660","true","0.00033721142942245606","3.472097713848651","87","19","4","20246","GSR,XDH,TXNRD1,TXNRD2"
"GO:MF","protein homodimerization activity","GO:0042803","false","0.0007699138707427411","3.1135578560656088","731","19","7","20246","GSS,XDH,HMOX1,TXNRD2,TXN,SOD1,CAT"
"GO:MF","protein-disulfide reductase activity","GO:0015035","false","0.0011829074449715398","2.927049234840065","34","19","3","20246","TXNRD1,TXNRD2,TXN"
"GO:MF","phospholipid-hydroperoxide glutathione peroxidase activity","GO:0047066","false","0.001436993166171809","2.8425452972108896","4","19","2","20246","GPX1,GPX4"
"GO:MF","oxidoreductase activity, acting on superoxide radicals as acceptor","GO:0016721","false","0.00239364789632418","2.6209397335995646","5","19","2","20246","SOD1,SOD2"
"GO:MF","superoxide dismutase activity","GO:0004784","false","0.00239364789632418","2.6209397335995646","5","19","2","20246","SOD1,SOD2"
"GO:MF","thioredoxin-dependent peroxiredoxin activity","GO:0140824","false","0.0035884619657007943","2.44509165251758","6","19","2","20246","PRDX1,PRDX2"
"GO:MF","thioredoxin peroxidase activity","GO:0008379","false","0.0035884619657007943","2.44509165251758","6","19","2","20246","PRDX1,PRDX2"
"GO:MF","ligase activity, forming carbon-nitrogen bonds","GO:0016879","false","0.0038379108777613813","2.415905114474399","50","19","3","20246","GSS,GCLC,GCLM"
"GO:MF","peroxiredoxin activity","GO:0051920","false","0.0066909654593161096","2.1745112120675327","8","19","2","20246","PRDX1,PRDX2"
"GO:MF","protein dimerization activity","GO:0046983","false","0.01294785581516274","1.8878021454625329","1126","19","7","20246","GSS,XDH,HMOX1,TXNRD2,TXN,SOD1,CAT"
"GO:MF","carbohydrate:monoatomic cation symporter activity","GO:0005402","false","0.0285474287298887","1.544433002609357","16","19","2","20246","SLC23A1,SLC23A2"
"GO:BP","response to oxidative stress","GO:0006979","true","2.870430085888651e-22","21.54205302663386","400","19","16","21026","GSS,GCLC,GCLM,GSR,GPX1,GPX4,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A2"
"GO:BP","cellular oxidant detoxification","GO:0098869","false","1.0418244412357649e-18","17.982205458220932","96","19","11","21026","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","cellular detoxification","GO:1990748","false","1.6427376860609732e-17","16.78443177959069","122","19","11","21026","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","cellular response to toxic substance","GO:0097237","false","4.037438309379277e-17","16.393894100475293","132","19","11","21026","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","detoxification","GO:0098754","false","1.5995251429066912e-16","15.796008928859141","149","19","11","21026","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","response to toxic substance","GO:0009636","false","4.514261760660612e-16","15.345413261847867","252","19","12","21026","GSR,GPX1,GPX4,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A1"
"GO:BP","cell redox homeostasis","GO:0045454","true","1.0737815861834183e-14","13.969084047837393","41","19","8","21026","GCLC,GSR,GPX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2"
"GO:BP","cellular homeostasis","GO:0019725","false","1.7335321947512905e-11","10.761068088317941","835","19","13","21026","GCLC,GCLM,GSR,GPX1,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CYBRD1"
"GO:BP","glutathione metabolic process","GO:0006749","true","2.6147500209473812e-11","10.582569824851218","52","19","7","21026","GSS,GCLC,GCLM,GSR,GPX1,SOD1,SOD2"
"GO:BP","hydrogen peroxide metabolic process","GO:0042743","false","3.960167193905154e-11","10.40228647825186","55","19","7","21026","GPX1,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","response to reactive oxygen species","GO:0000302","false","6.178734963731361e-11","10.20910043340779","199","19","9","21026","GPX1,HMOX1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","response to chemical","GO:0042221","false","1.5260297550504551e-9","8.816436998276133","3909","19","18","21026","GSS,GCLC,GCLM,GSR,GPX1,GPX4,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A1,SLC23A2,CYBRD1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","6.583530589517807e-9","8.181541142201885","2192","19","15","21026","GCLC,GCLM,GSR,GPX1,GPX4,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A2"
"GO:BP","reactive oxygen species metabolic process","GO:0072593","false","1.8292356182485774e-8","7.737730350775824","231","19","8","21026","GPX1,XDH,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","cellular response to oxidative stress","GO:0034599","false","3.127313780582147e-8","7.504828541418209","247","19","8","21026","GSR,GPX1,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","response to oxygen radical","GO:0000305","false","4.709012138438891e-8","7.327070190073261","28","19","5","21026","TXNRD2,PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","1.1692472950314495e-7","6.932093626126984","1669","19","13","21026","GCLC,GCLM,GPX1,GPX4,HMOX1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A2"
"GO:BP","modified amino acid metabolic process","GO:0006575","false","1.8290162960062027e-7","6.7377824250681195","178","19","7","21026","GSS,GCLC,GCLM,GSR,GPX1,SOD1,SOD2"
"GO:BP","homeostatic process","GO:0042592","false","1.91684966792561e-7","6.717411946042369","1736","19","13","21026","GCLC,GCLM,GSR,GPX1,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CYBRD1"
"GO:BP","cellular response to chemical stress","GO:0062197","false","2.2848146227916366e-7","6.641149030414513","317","19","8","21026","GSR,GPX1,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","response to hydrogen peroxide","GO:0042542","false","3.239974007361085e-7","6.489458473899848","98","19","6","21026","GPX1,HMOX1,TXN,SOD1,SOD2,CAT"
"GO:BP","response to stress","GO:0006950","false","0.0000018037266765570993","5.743829271592443","3948","19","16","21026","GSS,GCLC,GCLM,GSR,GPX1,GPX4,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A2"
"GO:BP","response to cadmium ion","GO:0046686","false","0.00000257072100208841","5.589945054367762","60","19","5","21026","GSS,GCLC,HMOX1,SOD2,CAT"
"GO:BP","cellular response to reactive oxygen species","GO:0034614","false","0.000003789999998790159","5.421360790170563","147","19","6","21026","TXN,PRDX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","amide metabolic process","GO:0043603","false","0.000003962593437449947","5.402020484044733","455","19","8","21026","GSS,GCLC,GCLM,GSR,GPX1,XDH,SOD1,SOD2"
"GO:BP","removal of superoxide radicals","GO:0019430","false","0.000004924298481457238","5.307655630614587","22","19","4","21026","PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","cellular response to superoxide","GO:0071451","false","0.000007145024903005715","5.145996253196437","24","19","4","21026","PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","cellular response to oxygen radical","GO:0071450","false","0.000007145024903005715","5.145996253196437","24","19","4","21026","PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","sulfur compound metabolic process","GO:0006790","false","0.000008370346741893772","5.077256550970658","308","19","7","21026","GSS,GCLC,GCLM,GSR,GPX1,SOD1,SOD2"
"GO:BP","response to superoxide","GO:0000303","false","0.00001178058538019928","4.928833128812589","27","19","4","21026","PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","hydrogen peroxide catabolic process","GO:0042744","false","0.000021072942656506443","4.676274814641104","31","19","4","21026","GPX1,PRDX1,PRDX2,CAT"
"GO:BP","cellular response to oxygen-containing compound","GO:1901701","false","0.000025142833050779584","4.5995857883445925","1182","19","10","21026","GCLC,GCLM,GPX1,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A2"
"GO:BP","negative regulation of extrinsic apoptotic signaling pathway","GO:2001237","true","0.00003294340143006209","4.482231561631298","99","19","5","21026","GCLC,GCLM,GPX1,HMOX1,PRDX2"
"GO:BP","regulation of apoptotic signaling pathway","GO:2001233","false","0.000035583658160238164","4.448749406529249","380","19","7","21026","GCLC,GCLM,GPX1,HMOX1,PRDX2,SOD1,SOD2"
"GO:BP","negative regulation of programmed cell death","GO:0043069","false","0.00004357947730824857","4.360717982981565","905","19","9","21026","GCLC,GCLM,GPX1,GPX4,HMOX1,PRDX2,SOD1,SOD2,CAT"
"GO:BP","negative regulation of apoptotic signaling pathway","GO:2001234","false","0.00005815063724818693","4.2354455216603","232","19","6","21026","GCLC,GCLM,GPX1,HMOX1,PRDX2,SOD2"
"GO:BP","response to xenobiotic stimulus","GO:0009410","false","0.00009556438346552619","4.01970393770797","439","19","7","21026","GCLC,GCLM,GPX1,TXNRD2,SOD1,SOD2,CAT"
"GO:BP","response to selenium ion","GO:0010269","false","0.00010681062305633985","3.971385551564787","10","19","3","21026","GPX1,TXNRD2,SOD2"
"GO:BP","response to stimulus","GO:0050896","false","0.00014044008746234496","3.852508908739569","8999","19","19","21026","GSS,GCLC,GCLM,GSR,GPX1,GPX4,XDH,HMOX1,TXNRD1,TXNRD2,TXN,PRDX1,PRDX2,SOD1,SOD2,CAT,SLC23A1,SLC23A2,CYBRD1"
"GO:BP","regulation of tube diameter","GO:0035296","true","0.0002737787442132352","3.5626002728902773","151","19","5","21026","GCLC,GCLM,GPX1,SOD1,SOD2"
"GO:BP","blood vessel diameter maintenance","GO:0097746","false","0.0002737787442132352","3.5626002728902773","151","19","5","21026","GCLC,GCLM,GPX1,SOD1,SOD2"
"GO:BP","regulation of tube size","GO:0035150","false","0.00028293326245420634","3.5483159926238015","152","19","5","21026","GCLC,GCLM,GPX1,SOD1,SOD2"
"GO:BP","regulation of extrinsic apoptotic signaling pathway","GO:2001236","false","0.00032200922545718385","3.4921316857335043","156","19","5","21026","GCLC,GCLM,GPX1,HMOX1,PRDX2"
"GO:BP","L-ascorbic acid metabolic process","GO:0019852","true","0.00032325311333223684","3.4904572836277707","14","19","3","21026","GCLC,SLC23A1,SLC23A2"
"GO:BP","glutathione biosynthetic process","GO:0006750","false","0.0004038357493767467","3.3937952379683405","15","19","3","21026","GSS,GCLC,GCLM"
"GO:BP","response to nutrient","GO:0007584","false","0.0005082566907821011","3.293916895521955","171","19","5","21026","GCLC,GCLM,GPX1,SOD2,CAT"
"GO:BP","superoxide metabolic process","GO:0006801","false","0.0006005357405941513","3.2214611406658706","70","19","4","21026","PRDX1,PRDX2,SOD1,SOD2"
"GO:BP","lactone metabolic process","GO:1901334","false","0.0006028459442690558","3.219793656519712","17","19","3","21026","GCLC,SLC23A1,SLC23A2"
"GO:BP","nonribosomal peptide biosynthetic process","GO:0019184","false","0.0006028459442690558","3.219793656519712","17","19","3","21026","GSS,GCLC,GCLM"
